"","V1"
"tweet397.txt",1
"tweet398.txt",4
"tweet399.txt",3
"tweet4.txt",3
"tweet40.txt",1
"tweet400.txt",1
"tweet401.txt",2
"tweet402.txt",5
"tweet403.txt",4
"tweet404.txt",4
"tweet405.txt",1
"tweet406.txt",1
"tweet407.txt",3
"tweet408.txt",5
"tweet409.txt",1
"tweet41.txt",1
"tweet410.txt",1
"tweet411.txt",4
"tweet412.txt",2
"tweet413.txt",4
"tweet414.txt",1
"tweet415.txt",4
"tweet416.txt",2
"tweet417.txt",2
"tweet418.txt",3
"tweet419.txt",4
"tweet42.txt",4
"tweet420.txt",2
"tweet421.txt",4
"tweet422.txt",3
"tweet423.txt",1
"tweet424.txt",2
"tweet425.txt",1
"tweet426.txt",4
"tweet427.txt",5
"tweet428.txt",3
"tweet429.txt",3
"tweet43.txt",4
"tweet430.txt",3
"tweet431.txt",2
"tweet432.txt",5
"tweet433.txt",3
"tweet434.txt",5
"tweet435.txt",1
"tweet436.txt",2
"tweet437.txt",2
"tweet438.txt",3
"tweet439.txt",3
"tweet44.txt",3
"tweet440.txt",4
"tweet441.txt",2
"tweet442.txt",3
"tweet443.txt",1
"tweet444.txt",4
"tweet445.txt",3
"tweet446.txt",4
"tweet447.txt",1
"tweet448.txt",3
"tweet449.txt",3
"tweet45.txt",4
"tweet450.txt",2
"tweet451.txt",1
"tweet452.txt",1
"tweet453.txt",3
"tweet454.txt",1
"tweet455.txt",1
"tweet456.txt",3
"tweet457.txt",1
"tweet458.txt",1
"tweet459.txt",3
"tweet46.txt",5
"tweet460.txt",2
"tweet461.txt",5
"tweet462.txt",1
"tweet463.txt",4
"tweet464.txt",1
"tweet465.txt",5
"tweet466.txt",5
"tweet467.txt",1
"tweet468.txt",5
"tweet469.txt",4
"tweet47.txt",1
"tweet470.txt",4
"tweet471.txt",2
"tweet472.txt",5
"tweet473.txt",5
"tweet474.txt",2
"tweet475.txt",1
"tweet476.txt",1
"tweet477.txt",2
"tweet478.txt",3
"tweet479.txt",1
"tweet48.txt",2
"tweet480.txt",3
"tweet481.txt",2
"tweet482.txt",1
"tweet483.txt",2
"tweet484.txt",1
"tweet485.txt",4
"tweet486.txt",5
"tweet487.txt",3
"tweet488.txt",1
"tweet489.txt",1
"tweet49.txt",4
"tweet490.txt",5
"tweet491.txt",4
"tweet492.txt",2
"tweet493.txt",2
"tweet494.txt",1
"tweet495.txt",1
"tweet496.txt",5
"tweet497.txt",3
"tweet498.txt",5
"tweet499.txt",2
"tweet5.txt",4
"tweet50.txt",1
"tweet500.txt",2
"tweet501.txt",5
"tweet502.txt",1
"tweet503.txt",2
"tweet504.txt",4
"tweet505.txt",2
"tweet506.txt",2
"tweet507.txt",2
"tweet508.txt",2
"tweet509.txt",1
"tweet51.txt",5
"tweet510.txt",2
"tweet511.txt",2
"tweet512.txt",4
"tweet513.txt",2
"tweet514.txt",1
"tweet515.txt",4
"tweet516.txt",4
"tweet517.txt",1
"tweet518.txt",2
"tweet519.txt",4
"tweet52.txt",5
"tweet520.txt",2
"tweet521.txt",3
"tweet522.txt",5
"tweet523.txt",2
"tweet524.txt",2
"tweet525.txt",2
"tweet526.txt",4
"tweet527.txt",2
"tweet528.txt",3
"tweet529.txt",1
"tweet53.txt",5
"tweet530.txt",3
"tweet531.txt",4
"tweet532.txt",2
"tweet533.txt",5
"tweet534.txt",2
"tweet535.txt",3
"tweet536.txt",5
"tweet537.txt",1
"tweet538.txt",3
"tweet539.txt",1
"tweet54.txt",1
"tweet540.txt",2
"tweet541.txt",4
"tweet542.txt",1
"tweet543.txt",5
"tweet544.txt",4
"tweet545.txt",2
"tweet546.txt",1
"tweet547.txt",1
"tweet548.txt",5
"tweet549.txt",1
"tweet55.txt",5
"tweet550.txt",5
"tweet551.txt",5
"tweet552.txt",4
"tweet553.txt",2
"tweet554.txt",4
"tweet555.txt",5
"tweet556.txt",4
"tweet557.txt",4
"tweet558.txt",3
"tweet559.txt",1
"tweet56.txt",4
"tweet560.txt",4
"tweet561.txt",1
"tweet562.txt",3
"tweet563.txt",4
"tweet564.txt",2
"tweet565.txt",1
"tweet566.txt",1
"tweet567.txt",4
"tweet568.txt",2
"tweet569.txt",1
"tweet57.txt",3
"tweet570.txt",2
"tweet571.txt",4
"tweet572.txt",2
"tweet573.txt",1
"tweet574.txt",1
"tweet575.txt",2
"tweet576.txt",4
"tweet577.txt",1
"tweet578.txt",1
"tweet579.txt",3
"tweet58.txt",2
"tweet580.txt",3
"tweet581.txt",3
"tweet582.txt",1
"tweet583.txt",1
"tweet584.txt",4
"tweet585.txt",1
"tweet586.txt",1
"tweet587.txt",1
"tweet588.txt",1
"tweet589.txt",4
"tweet59.txt",2
"tweet590.txt",4
"tweet591.txt",2
"tweet592.txt",3
"tweet593.txt",2
"tweet594.txt",4
"tweet595.txt",2
"tweet596.txt",5
"tweet597.txt",1
"tweet598.txt",2
"tweet599.txt",2
"tweet6.txt",5
"tweet60.txt",2
"tweet600.txt",3
"tweet601.txt",2
"tweet602.txt",1
"tweet603.txt",1
"tweet604.txt",1
"tweet605.txt",1
"tweet606.txt",2
"tweet607.txt",2
"tweet608.txt",5
"tweet609.txt",4
"tweet61.txt",5
"tweet610.txt",3
"tweet611.txt",2
"tweet612.txt",1
"tweet613.txt",2
"tweet614.txt",1
"tweet615.txt",1
"tweet616.txt",5
"tweet617.txt",4
"tweet618.txt",2
"tweet619.txt",1
"tweet62.txt",1
"tweet620.txt",1
"tweet621.txt",4
"tweet622.txt",3
"tweet623.txt",3
"tweet624.txt",5
"tweet625.txt",2
"tweet626.txt",3
"tweet627.txt",4
"tweet628.txt",3
"tweet629.txt",2
"tweet63.txt",2
"tweet630.txt",2
"tweet631.txt",2
"tweet632.txt",2
"tweet633.txt",1
"tweet634.txt",3
"tweet635.txt",2
"tweet636.txt",2
"tweet637.txt",2
"tweet638.txt",3
"tweet639.txt",4
"tweet64.txt",1
"tweet640.txt",1
"tweet641.txt",2
"tweet642.txt",2
"tweet643.txt",3
